epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3521.27,1.64886,2.22842,1.7841,0.36751,0.25265,0.20542,0.10976,1.88087,2.32571,2.04808,0.007228,0.007228,0.007228
44,3602.95,1.63577,2.22169,1.77803,0.37209,0.25587,0.20505,0.10936,1.87885,2.32194,2.04607,0.007162,0.007162,0.007162
45,3684.62,1.63331,2.21077,1.77498,0.37074,0.25067,0.20428,0.10997,1.87722,2.31951,2.04471,0.007096,0.007096,0.007096
46,3766.18,1.63433,2.20244,1.77041,0.37217,0.24687,0.20416,0.11054,1.87597,2.31755,2.04254,0.00703,0.00703,0.00703
47,3847.87,1.63424,2.19922,1.76881,0.36816,0.24874,0.20428,0.11087,1.8741,2.31537,2.04058,0.006964,0.006964,0.006964
48,3929.39,1.62879,2.19395,1.76733,0.3648,0.25103,0.20554,0.1117,1.8717,2.31069,2.03835,0.006898,0.006898,0.006898
49,4011.03,1.62493,2.18849,1.76277,0.36985,0.25246,0.20621,0.11214,1.86883,2.30745,2.0357,0.006832,0.006832,0.006832
50,4092.62,1.62349,2.18568,1.76235,0.36862,0.25223,0.20743,0.1128,1.86682,2.30376,2.03378,0.006766,0.006766,0.006766
51,4174.26,1.62164,2.18249,1.75804,0.37764,0.24879,0.20799,0.11341,1.86515,2.30141,2.0323,0.0067,0.0067,0.0067
52,4255.94,1.62509,2.17631,1.75883,0.37639,0.2509,0.20837,0.11434,1.8634,2.29757,2.03098,0.006634,0.006634,0.006634
53,4337.45,1.61726,2.17033,1.75274,0.37955,0.25209,0.2087,0.11461,1.86103,2.29446,2.02931,0.006568,0.006568,0.006568
54,4419.07,1.61614,2.16545,1.75655,0.3783,0.25121,0.20887,0.11461,1.85987,2.29052,2.02798,0.006502,0.006502,0.006502
55,4500.79,1.61948,2.16622,1.75375,0.38334,0.25135,0.20887,0.11503,1.85725,2.28617,2.02515,0.006436,0.006436,0.006436
56,4582.33,1.60407,2.15392,1.7488,0.3859,0.2516,0.20994,0.11507,1.85599,2.28142,2.02276,0.00637,0.00637,0.00637
57,4663.77,1.61069,2.1636,1.75076,0.39005,0.2543,0.2105,0.11516,1.85384,2.2777,2.01982,0.006304,0.006304,0.006304
58,4745.51,1.60908,2.14546,1.74668,0.39174,0.25164,0.21063,0.11564,1.85137,2.2733,2.01732,0.006238,0.006238,0.006238
59,4827.01,1.60544,2.15555,1.74297,0.39838,0.2518,0.21127,0.1161,1.8479,2.26891,2.01327,0.006172,0.006172,0.006172
60,4908.48,1.60001,2.14679,1.73962,0.39668,0.2529,0.21159,0.11675,1.84586,2.26603,2.01102,0.006106,0.006106,0.006106
61,4990.27,1.60048,2.13952,1.73933,0.40372,0.25217,0.21223,0.11708,1.84466,2.26324,2.00932,0.00604,0.00604,0.00604
62,5071.81,1.60103,2.13563,1.73991,0.40587,0.25213,0.2136,0.11813,1.84318,2.25955,2.00738,0.005974,0.005974,0.005974
63,5153.54,1.5954,2.12643,1.73197,0.39686,0.25354,0.2147,0.11928,1.84176,2.25526,2.00508,0.005908,0.005908,0.005908
64,5235.1,1.58976,2.12349,1.73492,0.40121,0.25231,0.21538,0.11966,1.84008,2.251,2.00312,0.005842,0.005842,0.005842
65,5316.72,1.59664,2.12481,1.73409,0.39728,0.25494,0.21585,0.12014,1.83881,2.24757,2.00142,0.005776,0.005776,0.005776
66,5398.28,1.59044,2.12001,1.73106,0.39496,0.25666,0.21636,0.12031,1.83641,2.24252,1.99891,0.00571,0.00571,0.00571
67,5479.82,1.59366,2.11289,1.73147,0.39736,0.25542,0.21643,0.12062,1.83483,2.23897,1.9968,0.005644,0.005644,0.005644
68,5561.5,1.59282,2.11259,1.72658,0.39367,0.25683,0.21697,0.12124,1.83306,2.23627,1.9951,0.005578,0.005578,0.005578
69,5643.18,1.58795,2.10947,1.72524,0.39602,0.25722,0.21811,0.12213,1.8311,2.23208,1.99274,0.005512,0.005512,0.005512
70,5724.66,1.58104,2.10481,1.72194,0.39332,0.26049,0.21822,0.12253,1.83044,2.2289,1.99132,0.005446,0.005446,0.005446
71,5806.34,1.57923,2.098,1.71674,0.39218,0.26109,0.21768,0.12241,1.82899,2.22559,1.98948,0.00538,0.00538,0.00538
72,5887.91,1.58414,2.09904,1.72243,0.38989,0.26319,0.21875,0.12305,1.82724,2.2219,1.98785,0.005314,0.005314,0.005314
73,5969.5,1.58147,2.08926,1.71502,0.39149,0.26647,0.2203,0.12391,1.82566,2.2185,1.98591,0.005248,0.005248,0.005248
74,6051.21,1.57559,2.08253,1.71218,0.39498,0.26447,0.22194,0.12501,1.82539,2.21609,1.98479,0.005182,0.005182,0.005182
75,6132.84,1.57293,2.07366,1.70992,0.39309,0.26483,0.22235,0.12518,1.82382,2.21236,1.98237,0.005116,0.005116,0.005116
76,6214.45,1.57049,2.07623,1.7077,0.39221,0.27311,0.22309,0.1258,1.82326,2.20881,1.98131,0.00505,0.00505,0.00505
77,6296.07,1.56756,2.07113,1.70523,0.38888,0.27218,0.22433,0.12688,1.82157,2.2062,1.97893,0.004984,0.004984,0.004984
78,6377.75,1.56116,2.06236,1.70224,0.38592,0.2719,0.22417,0.12715,1.81955,2.20331,1.97699,0.004918,0.004918,0.004918
79,6459.26,1.56207,2.05946,1.70214,0.38673,0.27301,0.22521,0.12787,1.81769,2.20134,1.97496,0.004852,0.004852,0.004852
80,6540.87,1.56824,2.05778,1.70391,0.38716,0.27384,0.22506,0.12791,1.81538,2.19882,1.97227,0.004786,0.004786,0.004786
81,6622.45,1.56258,2.05204,1.69801,0.39117,0.27407,0.22612,0.12888,1.81317,2.19521,1.96949,0.00472,0.00472,0.00472
82,6703.91,1.56511,2.05467,1.70058,0.39352,0.2721,0.22622,0.12928,1.81222,2.19232,1.96877,0.004654,0.004654,0.004654
83,6785.5,1.56242,2.04771,1.69723,0.38999,0.27733,0.2271,0.1296,1.81154,2.18898,1.96823,0.004588,0.004588,0.004588
84,6867.04,1.55724,2.04234,1.69247,0.40145,0.2755,0.22784,0.13043,1.81002,2.18524,1.96656,0.004522,0.004522,0.004522
85,6948.62,1.55808,2.04666,1.69562,0.4036,0.27472,0.22758,0.13069,1.80737,2.18163,1.96363,0.004456,0.004456,0.004456
86,7030.22,1.55677,2.03737,1.68958,0.40493,0.27469,0.22843,0.13134,1.8056,2.17907,1.9618,0.00439,0.00439,0.00439
87,7111.97,1.54661,2.02934,1.68479,0.4039,0.27558,0.22897,0.13183,1.80516,2.17679,1.96116,0.004324,0.004324,0.004324
88,7193.44,1.54899,2.02517,1.6859,0.40289,0.27678,0.23042,0.13267,1.80476,2.17341,1.9599,0.004258,0.004258,0.004258
89,7274.92,1.547,2.02431,1.68417,0.40334,0.27584,0.23011,0.13273,1.80286,2.17067,1.95819,0.004192,0.004192,0.004192
