epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,9747.86,0.67847,0.75143,0.36632,0.41288,0.31123,0.25687,0.14308,0.71943,0.79467,0.59567,0.007228,0.007228,0.007228
44,10289.5,0.68689,0.74975,0.36996,0.41033,0.31195,0.25623,0.14272,0.71839,0.79467,0.59368,0.007162,0.007162,0.007162
45,10831,0.69074,0.75042,0.37599,0.40926,0.3198,0.25756,0.14376,0.72011,0.78943,0.5958,0.007096,0.007096,0.007096
46,11372.3,0.70583,0.7416,0.38351,0.41053,0.31958,0.25715,0.14402,0.71944,0.78976,0.59305,0.00703,0.00703,0.00703
47,11913.5,0.68335,0.74211,0.36828,0.41162,0.31761,0.25819,0.14441,0.71997,0.78739,0.59235,0.006964,0.006964,0.006964
48,12454.7,0.69193,0.73939,0.3708,0.4078,0.31475,0.25963,0.14513,0.71992,0.78762,0.59135,0.006898,0.006898,0.006898
49,12996,0.67691,0.74056,0.36452,0.41469,0.3139,0.26264,0.14681,0.719,0.78612,0.58795,0.006832,0.006832,0.006832
50,13537.5,0.65962,0.74387,0.35699,0.41551,0.30284,0.26222,0.14666,0.71702,0.78717,0.58626,0.006766,0.006766,0.006766
51,14078.9,0.68717,0.73439,0.37046,0.41914,0.30072,0.26387,0.1473,0.71689,0.78657,0.58291,0.0067,0.0067,0.0067
52,14620.1,0.67381,0.73896,0.36195,0.41978,0.30155,0.26466,0.1478,0.71585,0.78754,0.58185,0.006634,0.006634,0.006634
53,15161.7,0.66049,0.74021,0.35528,0.42119,0.30185,0.2647,0.14772,0.71408,0.78756,0.58254,0.006568,0.006568,0.006568
54,15703.3,0.68263,0.74164,0.36485,0.42789,0.30219,0.26488,0.14783,0.71326,0.79014,0.57957,0.006502,0.006502,0.006502
55,16244.3,0.65023,0.74,0.35094,0.44114,0.29765,0.26545,0.14791,0.7124,0.79139,0.57751,0.006436,0.006436,0.006436
56,16785.8,0.67049,0.72853,0.35698,0.43242,0.30585,0.26648,0.148,0.7128,0.7907,0.57636,0.00637,0.00637,0.00637
57,17327.2,0.67903,0.72519,0.36173,0.43106,0.30472,0.26678,0.1487,0.70998,0.79381,0.5741,0.006304,0.006304,0.006304
58,17869,0.67954,0.73022,0.3622,0.45253,0.29981,0.26828,0.14912,0.70967,0.79355,0.57433,0.006238,0.006238,0.006238
59,18410.5,0.64466,0.73109,0.34445,0.45601,0.29989,0.26862,0.14918,0.70863,0.79395,0.57426,0.006172,0.006172,0.006172
60,18952,0.66073,0.72605,0.35227,0.46795,0.29686,0.26959,0.1493,0.70803,0.79277,0.57581,0.006106,0.006106,0.006106
61,19493.3,0.6807,0.71753,0.36156,0.4578,0.30295,0.26933,0.14901,0.70747,0.79219,0.57477,0.00604,0.00604,0.00604
62,20034.6,0.66505,0.71897,0.35234,0.4577,0.29858,0.26941,0.14962,0.70883,0.78953,0.57538,0.005974,0.005974,0.005974
63,20575.9,0.68745,0.70965,0.36111,0.46952,0.29539,0.2705,0.15026,0.70848,0.78882,0.57598,0.005908,0.005908,0.005908
64,21117.5,0.72541,0.69725,0.37967,0.46021,0.2945,0.27114,0.15006,0.70785,0.78913,0.57761,0.005842,0.005842,0.005842
65,21658.6,0.64054,0.71953,0.33963,0.45719,0.30414,0.27289,0.15072,0.70902,0.78869,0.57585,0.005776,0.005776,0.005776
66,22200,0.63243,0.72335,0.33717,0.4597,0.29558,0.27551,0.15096,0.70782,0.78891,0.57527,0.00571,0.00571,0.00571
67,22741.5,0.68009,0.70778,0.35618,0.46739,0.29265,0.27533,0.15025,0.70741,0.78788,0.57664,0.005644,0.005644,0.005644
68,23283.5,0.68954,0.70752,0.36296,0.46605,0.29296,0.276,0.15007,0.70827,0.78524,0.57781,0.005578,0.005578,0.005578
69,23825.2,0.67715,0.71004,0.35573,0.46983,0.29273,0.27652,0.15061,0.70756,0.78417,0.57559,0.005512,0.005512,0.005512
70,24366.8,0.69542,0.69599,0.36168,0.47958,0.29099,0.27712,0.1495,0.70706,0.78124,0.57589,0.005446,0.005446,0.005446
71,24908.5,0.70531,0.69346,0.36783,0.48251,0.29169,0.2778,0.1501,0.70684,0.78181,0.57342,0.00538,0.00538,0.00538
72,25450.1,0.65597,0.70208,0.34572,0.48546,0.29278,0.27983,0.15109,0.70604,0.78092,0.57242,0.005314,0.005314,0.005314
73,25992.1,0.6851,0.69192,0.36016,0.48913,0.29439,0.27994,0.15096,0.70472,0.78135,0.57085,0.005248,0.005248,0.005248
74,26533.8,0.62714,0.70932,0.33168,0.48922,0.29581,0.28031,0.15209,0.70366,0.78055,0.57033,0.005182,0.005182,0.005182
75,27075.2,0.66324,0.69644,0.34332,0.3802,0.30135,0.28197,0.15285,0.70359,0.77793,0.5712,0.005116,0.005116,0.005116
76,27617.1,0.66783,0.69822,0.34245,0.37482,0.30397,0.28087,0.15175,0.70524,0.77383,0.57333,0.00505,0.00505,0.00505
77,28158.7,0.66525,0.69502,0.33962,0.37287,0.30644,0.28128,0.15125,0.70536,0.77202,0.57237,0.004984,0.004984,0.004984
78,28700.3,0.69916,0.67819,0.36101,0.38751,0.30774,0.28283,0.15204,0.70504,0.77017,0.57364,0.004918,0.004918,0.004918
79,29241.7,0.68939,0.67767,0.35193,0.38964,0.30782,0.28351,0.15198,0.70471,0.76928,0.57565,0.004852,0.004852,0.004852
80,29783.5,0.72496,0.66632,0.36458,0.38649,0.30245,0.28602,0.15311,0.70501,0.76789,0.57535,0.004786,0.004786,0.004786
81,30325,0.65447,0.68584,0.33794,0.37932,0.30407,0.28663,0.15379,0.70549,0.76609,0.57546,0.00472,0.00472,0.00472
82,30866.8,0.61434,0.6927,0.32211,0.35143,0.32957,0.28762,0.15371,0.70618,0.76315,0.57648,0.004654,0.004654,0.004654
83,31408.1,0.67001,0.67473,0.34464,0.3834,0.33234,0.28842,0.15415,0.70708,0.76056,0.57788,0.004588,0.004588,0.004588
84,31949.7,0.63551,0.68521,0.33115,0.3818,0.32449,0.29136,0.15528,0.70713,0.75776,0.57872,0.004522,0.004522,0.004522
85,32491.4,0.6425,0.67691,0.3306,0.34824,0.33285,0.29291,0.15576,0.70786,0.75669,0.581,0.004456,0.004456,0.004456
86,33033.1,0.62786,0.67974,0.32178,0.35748,0.33636,0.29361,0.15641,0.7085,0.75213,0.58079,0.00439,0.00439,0.00439
87,33574.6,0.64097,0.67302,0.32802,0.3587,0.33223,0.29607,0.15793,0.70775,0.75122,0.5817,0.004324,0.004324,0.004324
88,34116.6,0.66444,0.66794,0.34261,0.36535,0.32961,0.29623,0.15765,0.70822,0.75003,0.58367,0.004258,0.004258,0.004258
89,34658.1,0.59808,0.68086,0.31173,0.36892,0.33027,0.29596,0.15789,0.70748,0.75013,0.58285,0.004192,0.004192,0.004192
90,35199.7,0.63784,0.66691,0.32751,0.3884,0.31139,0.29713,0.15812,0.70798,0.74679,0.58483,0.004126,0.004126,0.004126
